Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,wild,1-green,39,,,0.039,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,wild,2-blue,34,,,0.638,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,wild,3-red,37,,,0.495,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,wild,4-yellow,29,,,0.652,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,wild,5-orange,35,,,0.669,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,wild,6-brown,38,,,0.389,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,wild,7-grey,36,,,0.589,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,wild,1-green,39,,,0.021,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,wild,2-blue,34,,,0.615,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,wild,3-red,37,,,0.449,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,wild,4-yellow,29,,,0.615,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,wild,5-orange,35,,,0.557,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,wild,6-brown,38,,,0.414,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,wild,7-grey,36,,,0.622,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,wild,1-green,39,,,0.089,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,wild,2-blue,34,,,0.668,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,wild,3-red,37,,,0.535,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,wild,4-yellow,29,,,0.647,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,wild,5-orange,35,,,0.671,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,wild,6-brown,38,,,0.569,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,wild,7-grey,36,,,0.638,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,wild,1-green,39,,,0.028,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,wild,2-blue,34,,,0.605,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,wild,3-red,37,,,0.467,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,wild,4-yellow,29,,,0.647,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,wild,5-orange,35,,,0.629,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,wild,6-brown,38,,,0.453,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,wild,7-grey,36,,,0.558,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,wild,1-green,39,,,0.04,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,wild,2-blue,34,,,0.622,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,wild,3-red,37,,,0.44,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,wild,4-yellow,29,,,0.635,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,wild,5-orange,35,,,0.628,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,wild,6-brown,38,,,0.442,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,wild,7-grey,36,,,0.587,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,wild,1-green,39,,,0.062,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,wild,2-blue,34,,,0.576,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,wild,3-red,37,,,0.369,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,wild,4-yellow,29,,,0.653,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,wild,5-orange,35,,,0.643,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,wild,6-brown,38,,,0.336,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,wild,7-grey,36,,,0.572,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,wild,1-green,39,,,0.09,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,wild,2-blue,34,,,0.634,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,wild,3-red,37,,,0.521,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,wild,4-yellow,29,,,0.651,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,wild,5-orange,35,,,0.633,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,wild,6-brown,38,,,0.471,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,wild,7-grey,36,,,0.624,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,wild,1-green,39,,,0.046,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,wild,2-blue,34,,,0.64,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,wild,3-red,37,,,0.553,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,wild,4-yellow,29,,,0.658,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,wild,5-orange,35,,,0.607,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,wild,6-brown,38,,,0.56,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,wild,7-grey,36,,,0.64,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,24,7,16,AGLO7,wild,1-green,39,,,0.084,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,24,7,16,AGLO7,wild,2-blue,34,,,0.621,,420
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,24,7,16,AGLO7,wild,3-red,37,,,0.533,,420
