"","GroupingProperty","Species","Site","Tank_color","Size_cm","Partial_mortality","Colony_depth_ft","ED50","ED5","ED95","DW","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8"
"56","4_ICRA_4","ICRA",4,"1-green",38,40,40,38.34,36.75,40,3.25,3,4,4,4,4
"57","4_ICRA_5","ICRA",4,"1-green",30,5,37,38.66,36.73,40.69,3.96,2,3,6,7,8
"58","4_ICRA_6","ICRA",4,"1-green",55,35,40,38.33,37.46,39.22,1.76,2,3,6,7,8
"59","4_ICRA_7","ICRA",4,"1-green",38,25,39,38.52,37.28,39.8,2.52,2,3,6,7,8
"60","4_ICRA_8","ICRA",4,"1-green",90,60,38,38.7,37.69,39.73,2.04,2,3,3,3,3
"61","5_AHYA_1","AHYA",5,"1-green",54,0,39,37.7,36.08,39.39,3.31,1,2,2,2,2
"62","5_AHYA_2","AHYA",5,"1-green",115,15,38,37.92,36.18,39.75,3.57,1,2,2,2,2
"63","5_AABR_1","AABR",5,"1-green",145,10,39,37.5,35.96,39.1,3.14,1,2,2,2,2
"64","5_AABR_2","AABR",5,"1-green",420,50,39,37.47,35.57,39.48,3.91,1,2,2,2,2
"65","5_ICRA_1","ICRA",5,"1-green",75,50,34,38.36,36.38,40.45,4.07,2,3,6,7,8
"66","5_ICRA_2","ICRA",5,"1-green",98,35,38,37.78,35.57,40.12,4.55,2,3,6,7,8
"67","5_ICRA_3","ICRA",5,"1-green",65,70,32,38.38,36.4,40.47,4.07,2,3,6,7,8
"68","5_ICRA_4","ICRA",5,"1-green",70,10,34,38.05,36.14,40.06,3.92,2,3,3,3,3
"69","5_ICRA_5","ICRA",5,"1-green",107,55,35,37.91,34.89,41.19,6.3,3,4,4,4,4
"70","5_ICRA_6","ICRA",5,"1-green",64,10,34,37.89,36.38,39.47,3.09,2,3,6,7,8
"71","5_ICRA_7","ICRA",5,"1-green",36,30,37,38.07,35.5,40.83,5.33,3,4,4,4,4
"72","5_ICRA_8","ICRA",5,"1-green",30,1,34,37.81,36.48,39.2,2.72000000000001,2,3,6,7,8
"73","5_ICRA_9","ICRA",5,"1-green",45,3,34,37.99,36.15,39.92,3.77,2,3,6,7,8
"74","5_ICRA_10","ICRA",5,"1-green",34,30,31,38.06,36.37,39.83,3.46,2,3,3,3,3
"75","5_ICRA_11","ICRA",5,"1-green",67,65,37,37.62,36.06,39.26,3.2,3,4,4,4,4
"76","5_ICRA_12","ICRA",5,"1-green",38,50,37,37.97,36.49,39.51,3.02,3,4,4,4,4
"77","5_ICRA_13","ICRA",5,"1-green",67,75,33,38.58,36.45,40.83,4.38,3,4,4,4,4
"78","5_ICRA_14","ICRA",5,"1-green",64,60,35,38.53,36.56,40.6,4.04,2,3,3,3,3
"79","5_ICRA_15","ICRA",5,"1-green",125,70,31,38.14,36.47,39.9,3.43,2,3,6,7,8
"80","5_ICRA_16","ICRA",5,"1-green",52,25,32,38.25,36.37,40.22,3.85,2,3,6,7,8
"81","7_AABR_1","AABR",7,"2-blue",300,15,29,38.37,37.07,39.71,2.64,4,5,5,6,6
"82","7_AABR_2","AABR",7,"2-blue",100,5,38,38.4,37.18,39.67,2.49,4,5,5,6,6
"83","7_AABR_3","AABR",7,"2-blue",115,10,31,38.42,36.78,40.14,3.36,4,5,5,6,7
"84","7_AABR_4","AABR",7,"2-blue",135,0,32,38.14,36.38,39.98,3.59999999999999,4,5,5,6,6
"85","7_AHYA_1","AHYA",7,"2-blue",36,0,35,38.12,37.03,39.24,2.21,1,1,1,1,1
"86","7_AABR_5","AABR",7,"2-blue",105,25,36,37.77,35.75,39.91,4.16,4,5,5,6,6
"87","7_AABR_6","AABR",7,"2-blue",60,60,34,37.97,36.31,39.7,3.39,4,5,5,6,6
"88","7_AGLO_1","AGLO",7,"2-blue",40,10,33,37.83,35.64,40.14,4.5,4,5,5,6,7
"89","7_AGLO_2","AGLO",7,"2-blue",50,6,30,38.03,36.29,39.86,3.57,4,5,5,6,6
"90","7_AGLO_3","AGLO",7,"2-blue",32,15,36,38.5,37.51,39.53,2.02,4,5,5,6,6
"91","7_AGLO_4","AGLO",7,"2-blue",47,0,35,37.66,35.01,40.51,5.5,4,5,5,6,7
"92","7_AGLO_5","AGLO",7,"2-blue",48,5,35,37.83,36.37,39.34,2.97000000000001,4,5,5,6,6
