"Site","Species","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95"
"1","AABR",36.91,0.63,0.45,5.65,38.14,0.13,0.1,1.21,39.44,0.39,0.28,3.49
"1","AGLO",37.15,0.8,0.27,0.61,38.32,0.26,0.09,0.2,39.52,0.43,0.14,0.33
"1","AHYA",37.96,NA,NA,NA,38.75,NA,NA,NA,39.56,NA,NA,NA
"1","ICRA",37.26,0.85,0.3,0.71,38.43,0.32,0.11,0.27,39.63,0.47,0.17,0.4
