"ED5","ED50","ED95","GroupingProperty","Site","Species"
36.08,37.7,39.39,"5_AHYA_1","5","AHYA"
36.18,37.92,39.75,"5_AHYA_2","5","AHYA"
35.96,37.5,39.1,"5_AABR_1","5","AABR"
35.57,37.47,39.48,"5_AABR_2","5","AABR"
36.38,38.36,40.45,"5_ICRA_1","5","ICRA"
35.57,37.78,40.12,"5_ICRA_2","5","ICRA"
36.4,38.38,40.47,"5_ICRA_3","5","ICRA"
36.14,38.05,40.06,"5_ICRA_4","5","ICRA"
34.89,37.91,41.19,"5_ICRA_5","5","ICRA"
36.38,37.89,39.47,"5_ICRA_6","5","ICRA"
35.5,38.07,40.83,"5_ICRA_7","5","ICRA"
36.48,37.81,39.2,"5_ICRA_8","5","ICRA"
36.15,37.99,39.92,"5_ICRA_9","5","ICRA"
36.37,38.06,39.83,"5_ICRA_10","5","ICRA"
36.06,37.62,39.26,"5_ICRA_11","5","ICRA"
36.49,37.97,39.51,"5_ICRA_12","5","ICRA"
36.45,38.58,40.83,"5_ICRA_13","5","ICRA"
36.56,38.53,40.6,"5_ICRA_14","5","ICRA"
36.47,38.14,39.9,"5_ICRA_15","5","ICRA"
36.37,38.25,40.22,"5_ICRA_16","5","ICRA"
