Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,26,1,1,AHYA1,wild,1-green,37.5,,,0.343,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,35,2,2,AHYA2,wild,1-green,37.5,,,0.435,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,34,1,3,AABR1,wild,1-green,37.5,,,0.356,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,33,2,4,AABR2,wild,1-green,37.5,,,0.42,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,23,1,5,ICRA1,wild,1-green,37.5,,,0.46,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,16,2,6,ICRA2,wild,1-green,37.5,,,0.362,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,24,3,7,ICRA3,wild,1-green,37.5,,,0.474,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,22,4,8,ICRA4,wild,1-green,37.5,,,0.473,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,18,5,9,ICRA5,wild,1-green,37.5,,,0.359,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,19,6,10,ICRA6,wild,1-green,37.5,,,0.383,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,21,7,11,ICRA7,wild,1-green,37.5,,,0.393,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,38,8,12,ICRA8,wild,1-green,37.5,,,0.484,No valid corresponding metadata; colony placed in same tub as genotype 16,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,41,9,13,ICRA9,wild,1-green,37.5,,,0.424,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,44,10,14,ICRA10,wild,1-green,37.5,,,0.435,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,17,11,15,ICRA11,wild,1-green,37.5,,,0.399,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,36,12,16,ICRA12,wild,1-green,37.5,,,0.49,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,37,13,17,ICRA13,wild,1-green,37.5,,,0.533,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,42,14,18,ICRA14,wild,1-green,37.5,,,0.516,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,43,15,19,ICRA15,wild,1-green,37.5,,,0.487,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,39,16,20,ICRA16,wild,1-green,37.5,,,0.541,No valid corresponding metadata; colony placed in same tub as genotype 8,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,26,1,1,AHYA1,wild,2-blue,38,,,0.274,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,35,2,2,AHYA2,wild,2-blue,38,,,0.295,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,34,1,3,AABR1,wild,2-blue,38,,,0.145,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,33,2,4,AABR2,wild,2-blue,38,,,0.05,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,23,1,5,ICRA1,wild,2-blue,38,,,0.353,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,16,2,6,ICRA2,wild,2-blue,38,,,0.236,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,24,3,7,ICRA3,wild,2-blue,38,,,0.385,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,22,4,8,ICRA4,wild,2-blue,38,,,0.291,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,18,5,9,ICRA5,wild,2-blue,38,,,0.312,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,19,6,10,ICRA6,wild,2-blue,38,,,0.256,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,21,7,11,ICRA7,wild,2-blue,38,,,0.351,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,38,8,12,ICRA8,wild,2-blue,38,,,0.219,No valid corresponding metadata; colony placed in same tub as genotype 16,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,41,9,13,ICRA9,wild,2-blue,38,,,0.313,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,44,10,14,ICRA10,wild,2-blue,38,,,0.3,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,17,11,15,ICRA11,wild,2-blue,38,,,0.187,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,36,12,16,ICRA12,wild,2-blue,38,,,0.233,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,37,13,17,ICRA13,wild,2-blue,38,,,0.416,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,42,14,18,ICRA14,wild,2-blue,38,,,0.429,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,43,15,19,ICRA15,wild,2-blue,38,,,0.333,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,39,16,20,ICRA16,wild,2-blue,38,,,0.323,No valid corresponding metadata; colony placed in same tub as genotype 8,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,26,1,1,AHYA1,wild,3-red,38.5,,,0.074,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,35,2,2,AHYA2,wild,3-red,38.5,,,0.146,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,34,1,3,AABR1,wild,3-red,38.5,,,0.091,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,33,2,4,AABR2,wild,3-red,38.5,,,0.163,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,23,1,5,ICRA1,wild,3-red,38.5,,,0.177,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,16,2,6,ICRA2,wild,3-red,38.5,,,0.154,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,24,3,7,ICRA3,wild,3-red,38.5,,,0.287,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,22,4,8,ICRA4,wild,3-red,38.5,,,0.191,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,18,5,9,ICRA5,wild,3-red,38.5,,,0.166,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,19,6,10,ICRA6,wild,3-red,38.5,,,0.101,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,21,7,11,ICRA7,wild,3-red,38.5,,,0.197,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,38,8,12,ICRA8,wild,3-red,38.5,,,0.12,No valid corresponding metadata; colony placed in same tub as genotype 16,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,41,9,13,ICRA9,wild,3-red,38.5,,,0.124,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,44,10,14,ICRA10,wild,3-red,38.5,,,0.15,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,17,11,15,ICRA11,wild,3-red,38.5,,,0.06,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,36,12,16,ICRA12,wild,3-red,38.5,,,0.168,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,37,13,17,ICRA13,wild,3-red,38.5,,,0.263,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,42,14,18,ICRA14,wild,3-red,38.5,,,0.281,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,43,15,19,ICRA15,wild,3-red,38.5,,,0.216,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,39,16,20,ICRA16,wild,3-red,38.5,,,0.278,No valid corresponding metadata; colony placed in same tub as genotype 8,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,26,1,1,AHYA1,wild,4-yellow,39,,,0.052,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AHYA,35,2,2,AHYA2,wild,4-yellow,39,,,0.11,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,34,1,3,AABR1,wild,4-yellow,39,,,0.024,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,AABR,33,2,4,AABR2,wild,4-yellow,39,,,0.048,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,23,1,5,ICRA1,wild,4-yellow,39,0.208,0.203,0.223,super tiny fragment; repeated to double check values,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,16,2,6,ICRA2,wild,4-yellow,39,,,0.097,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,24,3,7,ICRA3,wild,4-yellow,39,,,0.152,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,22,4,8,ICRA4,wild,4-yellow,39,,,0.135,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,18,5,9,ICRA5,wild,4-yellow,39,,,0.183,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,19,6,10,ICRA6,wild,4-yellow,39,,,0.085,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,21,7,11,ICRA7,wild,4-yellow,39,,,0.151,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,38,8,12,ICRA8,wild,4-yellow,39,,,0.023,No valid corresponding metadata; colony placed in same tub as genotype 16,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,41,9,13,ICRA9,wild,4-yellow,39,,,0.14,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,44,10,14,ICRA10,wild,4-yellow,39,,,0.137,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,17,11,15,ICRA11,wild,4-yellow,39,,,0.03,,420
ESA,TUT,2232026,5,-14.3381,-170.79341,ICRA,36,12,16,ICRA12,wild,4-yellow,39,,,0.101,,420
