"Site","Species","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95"
"10","AABR",35.23,0.64,0.45,5.78,37.71,0.07,0.05,0.64,40.38,0.89,0.63,8
"10","AGLO",34.38,0.54,0.22,0.57,37.97,0.24,0.1,0.25,41.95,0.8,0.33,0.84
"10","AHYA",35.4,1.32,0.93,11.82,38.81,0.11,0.08,1.02,42.58,1.34,0.95,12.01
"10","ICRA",35.29,0.46,0.14,0.33,38.17,0.27,0.09,0.2,41.3,0.49,0.15,0.35
