"Site","Species","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95"
"11","AABR",36.48,0.56,0.39,5.02,37.81,0.1,0.07,0.89,39.19,0.8,0.57,7.18
"11","AGLO",36.14,0.52,0.18,0.43,38.01,0.34,0.12,0.28,39.98,0.48,0.17,0.4
"11","AHYA",35.7,1.77,1.25,15.95,37.87,0.24,0.17,2.16,40.23,2.51,1.77,22.55
"11","ICRA",35.24,1.32,0.47,1.1,37.58,0.49,0.17,0.41,40.12,1.08,0.38,0.9
