Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,18,1,1,AHYA1,wild,1-green,29,,,0.665,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,16,2,2,AHYA2,wild,1-green,29,,,0.601,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,17,1,3,AABR1,wild,1-green,29,,,0.656,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,21,2,4,AABR2,wild,1-green,29,,,0.654,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,10,1,5,ICRA1,wild,1-green,29,,,0.63,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,20,2,6,ICRA2,wild,1-green,29,,,0.658,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,19,3,7,ICRA3,wild,1-green,29,,,0.626,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,29,4,8,ICRA4,wild,1-green,29,,,0.615,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,26,5,9,ICRA5,wild,1-green,29,,,0.631,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,4,6,10,ICRA6,wild,1-green,29,,,0.612,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,28,7,11,ICRA7,wild,1-green,29,,,0.636,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,27,8,12,ICRA8,wild,1-green,29,,,0.62,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,23,1,13,AGLO1,wild,1-green,29,,,0.665,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,24,2,14,AGLO2,wild,1-green,29,,,0.635,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,11,3,15,AGLO3,wild,1-green,29,,,0.659,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,12,4,16,AGLO4,wild,1-green,29,,,0.65,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,13,5,17,AGLO5,wild,1-green,29,,,0.669,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,33,6,18,AGLO6,wild,1-green,29,,,0.656,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,14,7,19,AGLO7,wild,1-green,29,,,0.666,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,32,8,20,AGLO8,wild,1-green,29,,,0.688,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,18,1,1,AHYA1,wild,2-blue,37,,,0.49,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,16,2,2,AHYA2,wild,2-blue,37,,,0.509,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,17,1,3,AABR1,wild,2-blue,37,,,0.634,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,21,2,4,AABR2,wild,2-blue,37,,,0.551,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,10,1,5,ICRA1,wild,2-blue,37,,,0.343,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,20,2,6,ICRA2,wild,2-blue,37,,,0.371,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,19,3,7,ICRA3,wild,2-blue,37,,,0.563,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,29,4,8,ICRA4,wild,2-blue,37,,,0.541,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,26,5,9,ICRA5,wild,2-blue,37,,,0.341,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,4,6,10,ICRA6,wild,2-blue,37,,,0.404,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,28,7,11,ICRA7,wild,2-blue,37,,,0.426,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,27,8,12,ICRA8,wild,2-blue,37,,,0.517,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,23,1,13,AGLO1,wild,2-blue,37,,,0.493,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,24,2,14,AGLO2,wild,2-blue,37,,,0.608,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,11,3,15,AGLO3,wild,2-blue,37,,,0.534,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,12,4,16,AGLO4,wild,2-blue,37,,,0.587,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,13,5,17,AGLO5,wild,2-blue,37,0.399,0.537,0.386,first measurement was side facing up; branch tipped over,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,33,6,18,AGLO6,wild,2-blue,37,,,0.629,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,14,7,19,AGLO7,wild,2-blue,37,,,0.542,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,32,8,20,AGLO8,wild,2-blue,37,,,0.458,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,18,1,1,AHYA1,wild,3-red,34,,,0.665,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,16,2,2,AHYA2,wild,3-red,34,,,0.519,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,17,1,3,AABR1,wild,3-red,34,,,0.67,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,21,2,4,AABR2,wild,3-red,34,,,0.626,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,10,1,5,ICRA1,wild,3-red,34,,,0.582,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,20,2,6,ICRA2,wild,3-red,34,,,0.577,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,19,3,7,ICRA3,wild,3-red,34,,,0.605,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,29,4,8,ICRA4,wild,3-red,34,,,0.586,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,26,5,9,ICRA5,wild,3-red,34,,,0.594,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,4,6,10,ICRA6,wild,3-red,34,,,0.625,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,28,7,11,ICRA7,wild,3-red,34,,,0.578,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,27,8,12,ICRA8,wild,3-red,34,,,0.585,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,23,1,13,AGLO1,wild,3-red,34,,,0.633,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,24,2,14,AGLO2,wild,3-red,34,,,0.586,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,11,3,15,AGLO3,wild,3-red,34,,,0.67,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,12,4,16,AGLO4,wild,3-red,34,,,0.612,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,13,5,17,AGLO5,wild,3-red,34,,,0.573,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,33,6,18,AGLO6,wild,3-red,34,,,0.651,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,14,7,19,AGLO7,wild,3-red,34,,,0.665,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,32,8,20,AGLO8,wild,3-red,34,,,0.65,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,18,1,1,AHYA1,wild,4-yellow,35,,,0.584,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,16,2,2,AHYA2,wild,4-yellow,35,,,0.456,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,17,1,3,AABR1,wild,4-yellow,35,,,0.688,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,21,2,4,AABR2,wild,4-yellow,35,,,0.666,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,10,1,5,ICRA1,wild,4-yellow,35,,,0.47,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,20,2,6,ICRA2,wild,4-yellow,35,,,0.542,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,19,3,7,ICRA3,wild,4-yellow,35,,,0.622,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,29,4,8,ICRA4,wild,4-yellow,35,,,0.611,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,26,5,9,ICRA5,wild,4-yellow,35,,,0.588,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,4,6,10,ICRA6,wild,4-yellow,35,,,0.594,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,28,7,11,ICRA7,wild,4-yellow,35,,,0.576,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,27,8,12,ICRA8,wild,4-yellow,35,,,0.638,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,23,1,13,AGLO1,wild,4-yellow,35,,,0.661,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,24,2,14,AGLO2,wild,4-yellow,35,,,0.647,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,11,3,15,AGLO3,wild,4-yellow,35,,,0.663,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,12,4,16,AGLO4,wild,4-yellow,35,,,0.669,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,13,5,17,AGLO5,wild,4-yellow,35,,,0.642,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,33,6,18,AGLO6,wild,4-yellow,35,,,0.673,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,14,7,19,AGLO7,wild,4-yellow,35,,,0.666,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,32,8,20,AGLO8,wild,4-yellow,35,,,0.68,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,18,1,1,AHYA1,wild,5-orange,38,,,0.33,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,16,2,2,AHYA2,wild,5-orange,38,,,0.122,no graph; could be dead,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,17,1,3,AABR1,wild,5-orange,38,,,0.185,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,21,2,4,AABR2,wild,5-orange,38,,,0.254,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,10,1,5,ICRA1,wild,5-orange,38,,,0.281,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,20,2,6,ICRA2,wild,5-orange,38,,,0.245,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,19,3,7,ICRA3,wild,5-orange,38,,,0.451,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,29,4,8,ICRA4,wild,5-orange,38,,,0.215,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,26,5,9,ICRA5,wild,5-orange,38,,,0.309,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,4,6,10,ICRA6,wild,5-orange,38,,,0.22,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,28,7,11,ICRA7,wild,5-orange,38,,,0.178,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,27,8,12,ICRA8,wild,5-orange,38,,,0.129,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,23,1,13,AGLO1,wild,5-orange,38,,,0.279,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,24,2,14,AGLO2,wild,5-orange,38,,,0.413,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,11,3,15,AGLO3,wild,5-orange,38,,,0.25,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,12,4,16,AGLO4,wild,5-orange,38,,,0.312,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,13,5,17,AGLO5,wild,5-orange,38,,,0.269,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,33,6,18,AGLO6,wild,5-orange,38,,,0.466,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,14,7,19,AGLO7,wild,5-orange,38,,,0.374,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,32,8,20,AGLO8,wild,5-orange,38,,,0.407,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,18,1,1,AHYA1,wild,6-brown,39,,,0.213,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,16,2,2,AHYA2,wild,6-brown,39,,,0.029,,420
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,17,1,3,AABR1,wild,6-brown,39,,,0.085,,420
