"Site","Species","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95"
"5","AABR",35.76,0.28,0.2,2.48,37.48,0.02,0.02,0.19,39.29,0.27,0.19,2.41
"5","AHYA",36.13,0.07,0.05,0.64,37.81,0.16,0.11,1.4,39.57,0.25,0.18,2.29
"5","ICRA",36.17,0.46,0.12,0.25,38.09,0.27,0.07,0.15,40.12,0.59,0.15,0.31
