"ED5","ED50","ED95","GroupingProperty","Site","Species"
36.29,37.87,39.51,"3_AGLO_1","3","AGLO"
36.63,38,39.41,"3_AGLO_2","3","AGLO"
36.44,37.95,39.52,"3_AGLO_3","3","AGLO"
36.19,37.88,39.64,"3_AGLO_4","3","AGLO"
35.63,38.12,40.79,"3_AGLO_5","3","AGLO"
34.81,37.08,39.49,"3_AGLO_6","3","AGLO"
36.07,37.74,39.48,"3_AGLO_7","3","AGLO"
35.88,37.91,40.06,"3_AGLO_8","3","AGLO"
35.56,38.11,40.85,"3_ICRA_1","3","ICRA"
35.33,37.79,40.42,"3_ICRA_2","3","ICRA"
36.24,37.98,39.8,"3_ICRA_3","3","ICRA"
36.27,38.41,40.68,"3_ICRA_4","3","ICRA"
36.33,38.2,40.16,"3_ICRA_5","3","ICRA"
36.71,38.05,39.44,"3_ICRA_6","3","ICRA"
35.82,37.89,40.08,"3_ICRA_7","3","ICRA"
35.9,38.27,40.8,"3_ICRA_8","3","ICRA"
36.64,38.04,39.49,"3_AHYA_1","3","AHYA"
36.06,37.86,39.76,"3_AHYA_2","3","AHYA"
35.88,37.68,39.57,"3_AABR_1","3","AABR"
35.54,37.39,39.35,"3_AABR_2","3","AABR"
