"Site","Species","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95"
"9","AABR",35.66,NA,NA,NA,37.4,NA,NA,NA,39.22,NA,NA,NA
"9","AGLO",35.93,1.4,0.49,1.17,37.85,0.43,0.15,0.36,39.89,0.68,0.24,0.57
"9","AHYA",36.39,0.77,0.34,0.95,38,0.29,0.13,0.36,39.68,0.3,0.13,0.37
"9","ICRA",36.66,0.53,0.22,0.55,38.15,0.2,0.08,0.21,39.71,0.27,0.11,0.28
