"ED5","ED50","ED95","Site","Species","Genotype","Dataset"
36.37,37.83,39.34,"7","AGLO","5","All"
37.59,38.49,39.42,"7","AGLO","6","All"
37.54,38.57,39.64,"7","AGLO","7","All"
35.58,37.94,40.46,"7","AGLO","8","All"
37.15,38.23,39.35,"7","AGLO","9","All"
36.77,38.22,39.72,"7","AGLO","10","All"
36.25,38.2,40.25,"7","AGLO","11","All"
35.66,37.4,39.22,"9","AABR","1","All"
35.75,37.78,39.91,"9","AGLO","1","All"
36.14,37.94,39.82,"9","AGLO","2","All"
36.64,37.98,39.37,"9","AGLO","3","All"
33.95,37.33,41.03,"9","AGLO","4","All"
36.66,38.07,39.53,"9","AGLO","5","All"
34.6,37.52,40.68,"9","AGLO","6","All"
35.22,37.48,39.87,"9","AGLO","7","All"
38.45,38.69,38.92,"9","AGLO","8","All"
37.7,38.5,39.31,"9","AHYA","1","All"
36.28,37.93,39.65,"9","AHYA","2","All"
36.17,37.8,39.5,"9","AHYA","3","All"
36.13,37.96,39.88,"9","AHYA","4","All"
35.67,37.8,40.06,"9","AHYA","5","All"
35.95,37.85,39.85,"9","ICRA","1","All"
36.69,38.2,39.78,"9","ICRA","2","All"
36.36,37.97,39.66,"9","ICRA","3","All"
36.58,38.29,40.09,"9","ICRA","4","All"
37.52,38.4,39.29,"9","ICRA","5","All"
36.88,38.2,39.57,"9","ICRA","6","All"
36.33,38.89,41.64,"10","AHYA","1","All"
34.47,38.73,43.53,"10","AHYA","2","All"
34.77,37.76,41.01,"10","AABR","1","All"
35.68,37.66,39.75,"10","AABR","2","All"
34.71,37.93,41.45,"10","AGLO","1","All"
34.63,38.34,42.44,"10","AGLO","2","All"
34.08,38.07,42.52,"10","AGLO","3","All"
35.11,37.9,40.91,"10","AGLO","4","All"
33.59,37.99,42.97,"10","AGLO","5","All"
34.17,37.61,41.4,"10","AGLO","6","All"
35.05,38.08,41.37,"10","ICRA","1","All"
34.43,37.86,41.64,"10","ICRA","2","All"
35.49,38.05,40.8,"10","ICRA","3","All"
34.97,38.08,41.46,"10","ICRA","4","All"
35.02,37.75,40.7,"10","ICRA","5","All"
35.68,38.66,41.89,"10","ICRA","6","All"
35.61,38.43,41.46,"10","ICRA","7","All"
35.07,38.39,42.02,"10","ICRA","8","All"
35.67,38.15,40.79,"10","ICRA","9","All"
35.93,38.3,40.83,"10","ICRA","10","All"
34.45,38.04,42,"11","AHYA","1","All"
36.96,37.7,38.45,"11","AHYA","2","All"
36.88,37.74,38.62,"11","AABR","1","All"
36.09,37.88,39.75,"11","AABR","2","All"
33.46,37.22,41.39,"11","ICRA","1","All"
33.52,37.22,41.33,"11","ICRA","2","All"
36.54,38.7,40.99,"11","ICRA","3","All"
36.36,37.81,39.32,"11","ICRA","4","All"
34.32,37.27,40.47,"11","ICRA","5","All"
35.21,37.43,39.8,"11","ICRA","6","All"
35.98,37.49,39.06,"11","ICRA","7","All"
36.53,37.54,38.58,"11","ICRA","8","All"
35.78,37.71,39.75,"11","AGLO","1","All"
36.82,38.38,40.01,"11","AGLO","2","All"
36.28,37.72,39.22,"11","AGLO","3","All"
36.28,38.06,39.94,"11","AGLO","4","All"
35.6,37.53,39.57,"11","AGLO","5","All"
36.91,38.49,40.14,"11","AGLO","6","All"
35.86,38.18,40.65,"11","AGLO","7","All"
35.61,38.01,40.57,"11","AGLO","8","All"
