Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,15,1,1,AGLO1,wild,1-green,35,,,0.627,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,14,2,2,AGLO2,wild,1-green,35,,,0.632,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,38,3,3,AGLO3,wild,1-green,35,,,0.624,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,40,4,4,AGLO4,wild,1-green,35,,,0.607,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,36,5,5,AGLO5,wild,1-green,35,,,0.626,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,16,6,6,AGLO6,wild,1-green,35,,,0.585,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,12,7,7,AGLO7,wild,1-green,35,,,0.59,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AGLO,39,8,8,AGLO8,wild,1-green,35,,,0.599,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,33,1,9,ICRA1,wild,1-green,35,,,0.574,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,61,2,10,ICRA2,wild,1-green,35,,,0.57,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,35,3,11,ICRA3,wild,1-green,35,,,0.574,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,34,4,12,ICRA4,wild,1-green,35,,,0.594,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,63,5,13,ICRA5,wild,1-green,35,,,0.593,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,64,6,14,ICRA6,wild,1-green,35,,,0.58,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,62,7,15,ICRA7,wild,1-green,35,,,0.585,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,ICRA,66,8,16,ICRA8,wild,1-green,35,,,0.587,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AHYA,32,1,17,AHYA1,wild,1-green,35,,,0.633,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AHYA,29,2,18,AHYA2,wild,1-green,35,,,0.657,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AABR,26,1,19,AABR1,wild,1-green,35,,,0.611,,420
ESA,TUT,2192026,3,-14.3292,-170.83196,AABR,27,2,20,AABR2,wild,1-green,35,,,0.59,,420
