"ED5","ED50","ED95","GroupingProperty","Site","Species"
37.54,38.06,38.6,"9_AGLO_8","9","AGLO"
37.58,38.3,39.03,"9_AHYA_1","9","AHYA"
36.06,37.38,38.75,"9_AHYA_2","9","AHYA"
35.96,37.4,38.9,"9_AHYA_3","9","AHYA"
35.92,37.6,39.36,"9_AHYA_4","9","AHYA"
35.46,37.12,38.85,"9_AHYA_5","9","AHYA"
35.14,37.29,39.58,"9_ICRA_1","9","ICRA"
37.02,38.1,39.22,"9_ICRA_2","9","ICRA"
36.34,37.77,39.25,"9_ICRA_3","9","ICRA"
36.73,38.02,39.35,"9_ICRA_4","9","ICRA"
37.48,38.29,39.11,"9_ICRA_5","9","ICRA"
37.23,38.08,38.96,"9_ICRA_6","9","ICRA"
36.43,38.89,41.51,"10_AHYA_1","10","AHYA"
35.33,38.61,42.2,"10_AHYA_2","10","AHYA"
35.05,37.76,40.67,"10_AABR_1","10","AABR"
36.65,37.88,39.16,"10_AABR_2","10","AABR"
35.83,38.03,40.36,"10_AGLO_1","10","AGLO"
35.57,38.47,41.6,"10_AGLO_2","10","AGLO"
34.82,38.22,41.94,"10_AGLO_3","10","AGLO"
36.13,38.11,40.2,"10_AGLO_4","10","AGLO"
35.43,38.22,41.23,"10_AGLO_5","10","AGLO"
34.44,37.99,41.91,"10_AGLO_6","10","AGLO"
35.42,38.28,41.37,"10_ICRA_1","10","ICRA"
35.21,37.96,40.92,"10_ICRA_2","10","ICRA"
36.41,38.23,40.15,"10_ICRA_3","10","ICRA"
35.56,38.03,40.66,"10_ICRA_4","10","ICRA"
35.42,37.82,40.39,"10_ICRA_5","10","ICRA"
36.06,38.67,41.46,"10_ICRA_6","10","ICRA"
36.51,38.47,40.53,"10_ICRA_7","10","ICRA"
35.68,38.62,41.8,"10_ICRA_8","10","ICRA"
35.53,38.03,40.71,"10_ICRA_9","10","ICRA"
35.56,38.02,40.65,"10_ICRA_10","10","ICRA"
34.39,38,41.98,"11_AHYA_1","11","AHYA"
34.73,36.9,39.21,"11_AHYA_2","11","AHYA"
35.76,37.49,39.3,"11_AABR_1","11","AABR"
35.65,37.75,39.98,"11_AABR_2","11","AABR"
34.49,37.46,40.68,"11_ICRA_1","11","ICRA"
33.27,37.04,41.23,"11_ICRA_2","11","ICRA"
36.59,38.71,40.95,"11_ICRA_3","11","ICRA"
35.6,37.62,39.76,"11_ICRA_4","11","ICRA"
37.33,38.06,38.81,"11_ICRA_5","11","ICRA"
