Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,1-green,36,0.476,0.51,0.51,bottom / top,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,2-blue,38,0.08,0.055,0.055,bottom / top,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,3-red,37,0.306,0.326,0.326,bottom / top,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,4-yellow,29,0.503,0.582,0.582,bottom / top,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,5-orange,39,0,0.043,0.043,bottom / top,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,6-brown,37.5,0.348,0.341,0.341,"bottom / top; frag forgotton, put in 1 hr late. tank at 33C. 230pm ",420
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,7-grey,38.5,0.055,0.112,0.112,bottom / top,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AABR,6,1,20,AABR1,wild,8-purple,35,0.533,0.503,0.503,bottom / top (tiny ABBR),420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,1-green,36,,,0.602,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,1-green,36,,,0.602,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,1-green,36,,,0.563,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,24,4,9,AGLO4,wild,1-green,36,,,0.483,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,21,5,10,AGLO5,wild,1-green,36,,,0.55,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,16,6,11,AGLO6,wild,1-green,36,,,0.405,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,22,7,12,AGLO7,wild,1-green,36,,,0.523,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,17,8,19,AGLO8,wild,1-green,36,,,0.651,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,2-blue,38,,,0.261,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,2-blue,38,,,0.277,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,2-blue,38,,,0.176,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,24,4,9,AGLO4,wild,2-blue,38,,,0.295,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,21,5,10,AGLO5,wild,2-blue,38,,,0.392,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,16,6,11,AGLO6,wild,2-blue,38,,,0.067,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,22,7,12,AGLO7,wild,2-blue,38,,,0.149,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,17,8,19,AGLO8,wild,2-blue,38,,,0.381,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,3-red,37,,,0.365,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,3-red,37,,,0.505,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,3-red,37,,,0.493,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,24,4,9,AGLO4,wild,3-red,37,,,0.243,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,21,5,10,AGLO5,wild,3-red,37,,,0.542,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,16,6,11,AGLO6,wild,3-red,37,,,0.38,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,22,7,12,AGLO7,wild,3-red,37,,,0.213,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,17,8,19,AGLO8,wild,3-red,37,,,0.551,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,4-yellow,29,,,0.643,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,4-yellow,29,,,0.643,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,4-yellow,29,,,0.633,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,24,4,9,AGLO4,wild,4-yellow,29,,,0.634,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,21,5,10,AGLO5,wild,4-yellow,29,,,0.649,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,16,6,11,AGLO6,wild,4-yellow,29,,,0.627,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,22,7,12,AGLO7,wild,4-yellow,29,,,0.579,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,17,8,19,AGLO8,wild,4-yellow,29,,,0.653,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,5-orange,39,,,0.011,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,5-orange,39,,,0.098,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,5-orange,39,,,0.04,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,24,4,9,AGLO4,wild,5-orange,39,,,0.034,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,21,5,10,AGLO5,wild,5-orange,39,,,0,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,16,6,11,AGLO6,wild,5-orange,39,,,0.017,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,22,7,12,AGLO7,wild,5-orange,39,,,0.017,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,17,8,19,AGLO8,wild,5-orange,39,,,0.005,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,6-brown,37.5,,,0.447,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,6-brown,37.5,,,0.431,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,6-brown,37.5,,,0.562,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,24,4,9,AGLO4,wild,6-brown,37.5,,,0.391,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,21,5,10,AGLO5,wild,6-brown,37.5,,,0.386,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,16,6,11,AGLO6,wild,6-brown,37.5,,,0.466,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,22,7,12,AGLO7,wild,6-brown,37.5,,,0.437,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,17,8,19,AGLO8,wild,6-brown,37.5,,,0.508,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,7-grey,38.5,,,0.208,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,7-grey,38.5,,,0.188,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,7-grey,38.5,,,0.23,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,24,4,9,AGLO4,wild,7-grey,38.5,,,0.159,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,21,5,10,AGLO5,wild,7-grey,38.5,,,0.193,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,16,6,11,AGLO6,wild,7-grey,38.5,,,0.295,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,22,7,12,AGLO7,wild,7-grey,38.5,,,0.122,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,17,8,19,AGLO8,wild,7-grey,38.5,,,0.514,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,18,1,6,AGLO1,wild,8-purple,35,,,0.581,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,25,2,7,AGLO2,wild,8-purple,35,,,0.588,,420
ESA,TUT,20260216,9,-14.36045,-170.74851,AGLO,8,3,8,AGLO3,wild,8-purple,35,,,0.616,,420
