"ED5","ED50","ED95","GroupingProperty","Site","Species"
37.07,38.37,39.71,"7_AABR_1","7","AABR"
37.18,38.4,39.67,"7_AABR_2","7","AABR"
36.78,38.42,40.14,"7_AABR_3","7","AABR"
36.38,38.14,39.98,"7_AABR_4","7","AABR"
35.75,37.77,39.91,"7_AABR_5","7","AABR"
36.31,37.97,39.7,"7_AABR_6","7","AABR"
37.03,38.12,39.24,"7_AHYA_1","7","AHYA"
35.64,37.83,40.14,"7_AGLO_1","7","AGLO"
36.29,38.03,39.86,"7_AGLO_2","7","AGLO"
37.51,38.5,39.53,"7_AGLO_3","7","AGLO"
35.01,37.66,40.51,"7_AGLO_4","7","AGLO"
36.37,37.83,39.34,"7_AGLO_5","7","AGLO"
37.59,38.49,39.42,"7_AGLO_6","7","AGLO"
37.54,38.57,39.64,"7_AGLO_7","7","AGLO"
35.58,37.94,40.46,"7_AGLO_8","7","AGLO"
37.15,38.23,39.35,"7_AGLO_9","7","AGLO"
36.77,38.22,39.72,"7_AGLO_10","7","AGLO"
36.25,38.2,40.25,"7_AGLO_11","7","AGLO"
