"ED5","ED50","ED95","GroupingProperty","Site","Species"
36.46,38.05,39.71,"1_AABR_1","1","AABR"
37.35,38.24,39.16,"1_AABR_2","1","AABR"
37.79,38.54,39.3,"1_AGLO_1","1","AGLO"
37.54,38.31,39.09,"1_AGLO_2","1","AGLO"
37.31,38.3,39.31,"1_AGLO_3","1","AGLO"
35.17,37.67,40.34,"1_AGLO_4","1","AGLO"
37.25,38.38,39.54,"1_AGLO_5","1","AGLO"
37.85,38.47,39.1,"1_AGLO_6","1","AGLO"
37.17,38.33,39.52,"1_AGLO_7","1","AGLO"
36.92,38.48,40.1,"1_AGLO_8","1","AGLO"
37.39,38.38,39.38,"1_AGLO_9","1","AGLO"
37.96,38.75,39.56,"1_AHYA_1","1","AHYA"
37.72,38.65,39.59,"1_ICRA_1","1","ICRA"
37.85,38.81,39.8,"1_ICRA_2","1","ICRA"
37.75,38.65,39.58,"1_ICRA_3","1","ICRA"
37.59,38.36,39.14,"1_ICRA_4","1","ICRA"
37.67,38.63,39.61,"1_ICRA_5","1","ICRA"
37.73,38.37,39.02,"1_ICRA_6","1","ICRA"
36.05,37.86,39.76,"1_ICRA_7","1","ICRA"
35.76,38.09,40.58,"1_ICRA_8","1","ICRA"
