"ED5","ED50","ED95","GroupingProperty","Site","Species"
35.66,37.4,39.22,"9_AABR_1","9","AABR"
35.75,37.78,39.91,"9_AGLO_1","9","AGLO"
36.14,37.94,39.82,"9_AGLO_2","9","AGLO"
36.64,37.98,39.37,"9_AGLO_3","9","AGLO"
33.95,37.33,41.03,"9_AGLO_4","9","AGLO"
36.66,38.07,39.53,"9_AGLO_5","9","AGLO"
34.6,37.52,40.68,"9_AGLO_6","9","AGLO"
35.22,37.48,39.87,"9_AGLO_7","9","AGLO"
38.45,38.69,38.92,"9_AGLO_8","9","AGLO"
37.7,38.5,39.31,"9_AHYA_1","9","AHYA"
36.28,37.93,39.65,"9_AHYA_2","9","AHYA"
36.17,37.8,39.5,"9_AHYA_3","9","AHYA"
36.13,37.96,39.88,"9_AHYA_4","9","AHYA"
35.67,37.8,40.06,"9_AHYA_5","9","AHYA"
35.95,37.85,39.85,"9_ICRA_1","9","ICRA"
36.69,38.2,39.78,"9_ICRA_2","9","ICRA"
36.36,37.97,39.66,"9_ICRA_3","9","ICRA"
36.58,38.29,40.09,"9_ICRA_4","9","ICRA"
37.52,38.4,39.29,"9_ICRA_5","9","ICRA"
36.88,38.2,39.57,"9_ICRA_6","9","ICRA"
