"Site","Species","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95"
"4","AABR",36.05,0.61,0.43,5.46,38.14,0.01,0,0.06,40.36,0.7,0.5,6.29
"4","AGLO",36.97,0.93,0.33,0.78,38.35,0.19,0.07,0.16,39.81,1.01,0.36,0.85
"4","AHYA",36.92,0.89,0.63,8,38.48,0.14,0.1,1.27,40.11,0.67,0.47,6.04
"4","ICRA",37.05,0.49,0.17,0.41,38.48,0.15,0.05,0.12,39.96,0.49,0.17,0.41
