"Site","Species","Mean_ED5","SD_ED5","SE_ED5","Conf_Int_5","Mean_ED50","SD_ED50","SE_ED50","Conf_Int_50","Mean_ED95","SD_ED95","SE_ED95","Conf_Int_95"
"3","AABR",35.71,0.24,0.17,2.16,37.53,0.21,0.14,1.84,39.46,0.16,0.11,1.4
"3","AGLO",35.99,0.57,0.2,0.48,37.82,0.32,0.11,0.27,39.74,0.47,0.17,0.39
"3","AHYA",36.35,0.41,0.29,3.68,37.95,0.13,0.09,1.14,39.62,0.19,0.13,1.72
"3","ICRA",36.02,0.45,0.16,0.38,38.09,0.2,0.07,0.17,40.28,0.5,0.18,0.42
